Product Name                                ,Product Page                                                          ,Brochure (PDF)                                                               ,QR Text(s)
DE-210 Horizontal Form Fill Seal Machine    ,https://detechnics.com/products/de-210                                ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de210.pdf        ,
DE-2000CW Cut & Wrap Machine                ,https://detechnics.com/products/de-2000cw                             ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de2000cw.pdf     ,
DE-4050 On-Edge Biscuit Wrapping Machine    ,https://detechnics.com/products/de-4050                               ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de4050.pdf       ,
DE-2050SS Horizontal Form Fill Seal Machine ,https://detechnics.com/products/de-2050ss                             ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de2050ss.pdf     ,
DE-2000 Horizontal Form Fill Seal Machine   ,https://detechnics.com/products/de-2000                               ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de2000.pdf       ,
DE-300 On-Edge Biscuit Wrapping Machine     ,https://detechnics.com/products/de-300                                 ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de300.pdf         ,
DEW-31 / DEW-45 / DEW-63 Wafer Lines        ,https://detechnics.com/products/wafer-lines                           ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636.pdf    ,
2A Wafer Spreading Machine                  ,https://detechnics.com/products/wafer-spreading-machine               ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_2A.pdf ,
Cream Mixer                                 ,https://detechnics.com/products/cream-mixer                           ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_6.pdf  ,
Batter Holding Tank                         ,https://detechnics.com/products/batter-holding-tank                   ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_4.pdf  ,
Wafer Cutter                                ,https://detechnics.com/products/wafer-cutter                          ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_3.pdf  ,
DE-200 HFFS Machine                         ,https://detechnics.com/products/de-200                                ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de200.pdf        ,
DE-202 HFFS Machine                         ,https://detechnics.com/products/de-202                                ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de202.pdf        ,
DE-310 On-Edge Biscuit Wrapper              ,https://detechnics.com/products/de-310                                ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de310.pdf        ,
DE-800 Super Wrap Candy Machine             ,https://detechnics.com/products/de-800-super-wrap                     ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de800.pdf        ,
DE-BR Batch Roller                          ,https://detechnics.com/products/de-br-batch-roller                    ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/debr.pdf         ,
DE-OW Overwrapper                           ,https://detechnics.com/products/de-ow-overwrapper                     ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/deow.pdf         ,
DE-RS Rope Sizer                            ,https://detechnics.com/products/de-rs-rope-sizer                      ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/ders.pdf         ,
Control Panel                               ,https://detechnics.com/products/control-panel                         ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_1.pdf  ,
Turbo Mixer                                 ,https://detechnics.com/products/turbo-mixer                           ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_5.pdf  ,
2B Automatic Wafer Spreading Machine        ,https://detechnics.com/products/automatic-wafer-spread-machine        ,https://0s8jq5whgaqcig6o.public.blob.vercel-storage.com/pdf/de3145636_2B.pdf ,
